id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
582118	0000000000000000001e8ae1be9e62bd2f6a9098b401c18ddb74164c921bcf46	2019-06-24 00:01:50	2019-06-23 23:26:06	989905	829826	3479383	541065216	20400000	100000010000000000000000000000	2db94e8af8c663fc0a93919aa4782aff904e10e0037009e9e7ea1d11e6ad28bf	4161273148	388365571	7409399249090.3	000000000000000000000000000000000000000006d2a9a888d1aeb21309830f	03e6e1082cfabe6d6d74454d32cc9519b2bca3013e88bc33269778e667ee55d2fbdba97c7379d0108710000000f09f909f000f4d696e6564206279206367683131310000000000000000000000000000000000000000000000000000000005004f620000	2027	620	4638	4900	429738247005	46698624	430988247005	46834456	44405168	4825.4028	44878.9	4.8769	12764	1.387	14354.150976283	1250000000	135834.5	1294405168	140659.9062	F2Pool
582119	000000000000000000144aff37be7a296234712918d1717352863009213c3493	2019-06-24 00:11:17	2019-06-23 23:31:11	1059298	865511	3655831	536870912	20000000	100000000000000000000000000000	e99f9b575a2c5fc7883dc676aba754985aaafb023c6417a68eb2486b76d43fec	2586201688	388365571	7409399249090.3	000000000000000000000000000000000000000006d2b065b22b10cdb5e50788	03e7e108042615105d632f4254432e434f4d2ffabe6d6d9fce8fe8b437f214537ac40fa4496af30811bace7d39ce1a6a30f12ca066d01701000000000000006b0004b8ce00020000000000	2552	728	4645	5559	302666800838	32890074	303916800838	33025908	39434457	4285.2476	37241.8	4.047	10786.8	1.1722	10056.804247509	1250000000	135834.5	1289434457	140119.75	BTC.com
582120	000000000000000000118f0ba2a4c3111c58e607da71550ac864e68205a1f1ee	2019-06-24 00:14:20	2019-06-23 23:32:13	289862	216608	939686	536870912	20000000	100000000000000000000000000000	e9ac8a25cd6958fe432e85b066d56053922a58d8ec5181ba00e8efcdb2ff61a4	721533922	388365571	7409399249090.3	000000000000000000000000000000000000000006d2b722db8472e958c08c01	03e8e108423756474c314e63595232a186f2de6776a56d15eaef6e	754	238	1241	1650	186896219294	20309564	188146219294	20445398	11068802	1202.8201	38223.1	4.1536	11785.5	1.2808	1587.8584669179	1250000000	135834.5	1261068802	137037.3125	Unknown
582121	00000000000000000013e98ce01eb97e704a8fabfbc13f6700453b57e71e0ee0	2019-06-24 00:27:51	2019-06-23 23:50:03	1266474	908797	3992865	536870912	20000000	100000000000000000000000000000	b50994502688393cc15ac2be7f7b9b823826fa95ec692ad0cc796720c5f162ad	2701509375	388365571	7409399249090.3	000000000000000000000000000000000000000006d2bde004ddd504fb9c107a	03e9e1080004f818105d04884f781e085affb15ca7754300092f426974667572792f	2631	986	5512	8209	1032225910954	112169512	1033475910954	112305344	55833750	6067.3193	44095.8	4.7918	13979.4	1.5191	18569.763282503	1250000000	135834.5	1305833750	141901.8125	BitFury
582122	0000000000000000000f4ab772390650d94cd9455ff16ecddb7040a77664e315	2019-06-24 00:29:07	2019-06-23 23:54:17	439351	419897	1699042	536870912	20000000	100000000000000000000000000000	b5586dee026deed07414848a6abc0962eee3edfadbfb50f78eea1d29a85d9628	877475111	388365571	7409399249090.3	000000000000000000000000000000000000000006d2c49d2e3737209e7794f3	03eae108044419105d2f706f6f6c696e2e636f6d2ffabe6d6d64b2b4a29bdd525e4882e8cbdc882a2de320b91d5570b40836d18485f31c0e510100000000000000b8e3f3a293cce74e8aed5a93f018d6bc105d2ed5c400f10f000000000000	1288	104	1706	3252	56123694073	6098827	57373694073	6234661.5	9737983	1058.2032	22184.3	2.4107	5735.65	0.6233	5888.0506437027	1250000000	135834.5	1259737983	136892.7031	Unknown
582123	0000000000000000000fe23df9c6f75b411290e756ff08ad50b148044aba28fe	2019-06-24 00:41:50	2019-06-24 00:01:50	1395380	865975	3993305	536870912	20000000	100000000000000000000000000000	7ff67a63854cea3edca4aff549af946826bb9e8bbdcd448a151f1295056269fd	3334785331	388365571	7409399249090.3	000000000000000000000000000000000000000006d2cb5a5790993c4153196c	03ebe108fabe6d6d59c3c7f0ba63731ba2256cfc11f25e708fc62d5054d2638f08f4b5aa68495f2d010000000000000026650f00884bfd000205de926e2f2f736c7573682f	2319	961	6377	7096	1304554323267	141762784	1305804323267	141898624	54179461	5887.5518	38838.1	4.2204	13565.2	1.4741	14354.3872118	1250000000	135834.5	1304179461	141722.0469	SlushPool
582124	000000000000000000229b2b369ca6d55ff86f40e7e0a738554c2d4c08ea76be	2019-06-24 00:42:55	2019-06-24 00:11:17	741962	496788	2232326	545259520	20800000	100000100000000000000000000000	15ac8723ee4267a904ce57c3c495c7b37934a07182cc248ed26de62f6db5500e	1696749914	388365571	7409399249090.3	000000000000000000000000000000000000000006d2d21780e9fb57e42e9de5	03ece108fabe6d6d37877933178cc6c78e4176e3b1e50d5f4f0cf5eb2d739b3579dd9ba6baeae5d701000000000000002d650602af108acb170000f5741d2f736c7573682f	1060	150	3408	3679	124038291026	13478943	125288291026	13614778	7941607	862.9954	10708.9	1.1637	3559.25	0.3867	4100.3185253252	1250000000	135834.5	1257941607	136697.5	SlushPool
582125	0000000000000000001840b2d132247bc5943c93c31f0979b1958d6cb7ef1042	2019-06-24 00:43:05	2019-06-24 00:14:20	8631	7796	32019	536870912	20000000	100000000000000000000000000000	09469690f0b4a3d9f21f5a2de40117b91f3d907becac3072c3ebec6dbd7a7353	738605947	388365571	7409399249090.3	000000000000000000000000000000000000000006d2d8d4aa435d73870a225e	03ede108fabe6d6da8fa6ac7f260d4608ed473eca7560e9000a8b04343dd835b4b9712c2804eb1ed0100000000000000016508025d5e7016550000af880e2f736c7573682f	22	6	44	51	865471600	94048.7188	2115471600	229883.2188	391897	42.5865	47445.2	5.1557	12785.4	1.3893	796.36212449374	1250000000	135834.5	1250391897	135877.0781	SlushPool
582126	0000000000000000001f566c7801187bcc59baf5f59963f9085d3cd71a93af9f	2019-06-24 01:17:24	2019-06-24 00:27:51	1168174	941615	3993019	536870912	20000000	100000000000000000000000000000	2ea794459df00306001d2ce4ac92e0587c204280247b9691baa2b4cfce7e568e	1135957011	388365571	7409399249090.3	000000000000000000000000000000000000000006d2df91d39cbf8f29e5a6d7	03eee10800047424105d040364d3220868ffb15c41030600092f426974667572792f	2266	1418	3224	18203	1366980410238	148546480	1368230410238	148682304	122465118	13307.9902	104860	11.3949	30652.3	3.3309	14939.602240545	1250000000	135834.5	1372465118	149142.4844	BitFury
582127	00000000000000000014850c32a7b4bec554f2dc9bec494cc8676e7ec814be12	2019-06-24 01:21:53	2019-06-24 00:29:07	1251342	913945	3993177	536870912	20000000	100000000000000000000000000000	191a562a71236bcc55740e241bc6e71f4fc50e197dacbbdc554aa076d718c666	3579715962	388365571	7409399249090.3	000000000000000000000000000000000000000006d2e64efcf621aaccc12b50	03efe10804b225105d652f4254432e434f4d2ffabe6d6d699b67cc9ec5f53c7149f9896460be226ab82e6344cbdb63fc3bd9899b3ba908080000007296cd10030e9930bf19020000000000	2379	988	5111	10063	1427564575837	155130016	1428814575837	155265840	83196153	9040.7266	66502.7	7.2267	20829.8	2.2635	91422.771599511	1250000000	135834.5	1333196153	144875.2188	BTC.com
